Client,Company Code,Accounting Document Number,Fiscal Year,Document Type,Document Date in Document,Month,Posting Date in the Document,Day On Which Accounting Document Was Entered,Invoice Document Number,Fiscal Year of Invoice,Date of the Last Document Change by Transaction,Reference Document Number,Accounting Document Key
100,CompanyCode1,1000000166,2022,Documenttype1,2022-03-09,3,2022-03-11,2022-03-11,1000074564,2022,,PRIV00000343,10000745642022
100,CompanyCode1,1000000167,2022,Documenttype1,2022-02-12,3,2022-03-11,2022-03-11,1000074579,2022,,IN220216,10000745792022
100,CompanyCode1,1000000168,2022,Documenttype1,2022-03-07,3,2022-03-11,2022-03-11,1000054805,2022,,53464,10000548052022
100,CompanyCode1,1000000169,2022,Documenttype1,2022-03-09,3,2022-03-11,2022-03-11,1000054815,2022,,INV Y334286,10000548152022
100,CompanyCode1,1000000170,2022,Documenttype1,2022-02-03,3,2022-03-11,2022-03-11,1000054827,2022,,8629,10000548272022
100,CompanyCode1,1000000171,2022,Documenttype1,2022-01-28,3,2022-03-11,2022-03-11,1000054842,2022,,I0017755,10000548422022
100,CompanyCode1,1000000172,2022,Documenttype1,2022-01-28,3,2022-03-11,2022-03-11,1000054843,2022,,I0017754,10000548432022
100,CompanyCode1,1000000173,2022,Documenttype1,2022-02-21,3,2022-03-11,2022-03-11,1000054844,2022,,90816672,10000548442022
100,CompanyCode1,1000000174,2022,Documenttype1,2022-03-03,3,2022-03-11,2022-03-11,1000054845,2022,,25382664,10000548452022
100,CompanyCode1,1000000175,2022,Documenttype1,2022-02-28,3,2022-03-11,2022-03-11,1000054847,2022,,INV-1375,10000548472022
100,CompanyCode1,1000000176,2022,Documenttype1,2022-03-03,3,2022-03-11,2022-03-11,1000054848,2022,,606 925598,10000548482022
100,CompanyCode1,1000000177,2022,Documenttype1,2022-03-02,3,2022-03-11,2022-03-11,1000054849,2022,,25350148,10000548492022
100,CompanyCode1,1000000178,2022,Documenttype1,2022-02-28,3,2022-03-11,2022-03-11,1000054850,2022,,CRN733399,10000548502022
100,CompanyCode1,1000000179,2022,Documenttype1,2022-02-18,3,2022-03-11,2022-03-11,1000054857,2022,,293100A,10000548572022
100,CompanyCode1,1000000180,2022,Documenttype1,2022-01-28,3,2022-03-11,2022-03-11,1000054869,2022,,A0002804,10000548692022
100,CompanyCode1,1000000181,2022,Documenttype1,2022-02-18,3,2022-03-11,2022-03-11,1000054886,2022,,612776,10000548862022
100,CompanyCode1,1000000182,2022,Documenttype1,2022-03-10,3,2022-03-14,2022-03-14,1000074800,2022,,INV122935,10000748002022
100,CompanyCode1,1000000183,2022,Documenttype1,2022-03-10,3,2022-03-14,2022-03-14,1000074801,2022,,INV122936,10000748012022
100,CompanyCode1,1000000184,2022,Documenttype1,2022-03-10,3,2022-03-15,2022-03-15,1000055235,2022,,INV122937,10000552352022
100,CompanyCode1,1000000185,2022,Documenttype1,2022-03-14,3,2022-03-15,2022-03-15,1000055237,2022,,821430673,10000552372022
100,CompanyCode1,1000000186,2022,Documenttype1,2022-03-10,3,2022-03-15,2022-03-15,1000035524,2022,,47-SI0108677,10000355242022
100,CompanyCode1,1000000187,2022,Documenttype1,2022-02-24,3,2022-03-15,2022-03-15,1000035545,2022,,PRIV00000298,10000355452022
100,CompanyCode1,1000000188,2022,Documenttype1,2022-03-15,3,2022-03-15,2022-03-15,1000035557,2022,,0006691,10000355572022
100,CompanyCode1,1000000189,2022,Documenttype1,2022-03-09,3,2022-03-15,2022-03-15,1000035561,2022,,606 516693,10000355612022
100,CompanyCode1,1000000190,2022,Documenttype1,2022-03-04,3,2022-03-15,2022-03-15,1000035563,2022,,25379002,10000355632022
100,CompanyCode1,1000000191,2022,Documenttype1,2022-03-10,3,2022-03-15,2022-03-15,1000035564,2022,,2410812217,10000355642022
100,CompanyCode1,1000000192,2022,Documenttype1,2022-02-25,3,2022-03-15,2022-03-15,1000035565,2022,,606 324770,10000355652022
100,CompanyCode1,1000000193,2022,Documenttype1,2022-03-02,3,2022-03-11,2022-03-15,1000035569,2022,,25350148,10000355692022
